item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
léčba,NA,NA,léčba,therapy,f,i,cz,words,noun,word_944,sociolex
led,NA,NA,led,ice,m,i,cz,words,noun,word_946,sociolex
ledvina,NA,NA,ledvina,kidney,f,i,cz,words,noun,word_949,sociolex
legíny,NA,NA,legíny,leggings,f,i,cz,words,noun,word_950,sociolex
lék,NA,NA,lék,medicine,m,i,cz,words,noun,word_954,sociolex
lékařství,NA,NA,lékařství,medicine,n,i,cz,words,noun,word_955,sociolex
léto,NA,NA,léto,summer,n,i,cz,words,noun,word_961,sociolex
leukémie,NA,NA,leukémie,leukaemia,f,i,cz,words,noun,word_962,sociolex
levice,NA,NA,levice,the left (political),f,i,cz,words,noun,word_964,sociolex
lhostejnost,NA,NA,lhostejnost,indifference,f,i,cz,words,noun,word_968,sociolex
líbánky,NA,NA,líbánky,honeymoon,f,i,cz,words,noun,word_969,sociolex
liberalismus,NA,NA,liberalismus,liberalism,m,i,cz,words,noun,word_970,sociolex
Liberec,NA,NA,Liberec,Liberec,m,i,cz,words,noun,word_972,sociolex
lilie,NA,NA,lilie,lily,f,i,cz,words,noun,word_979,sociolex
limonáda,NA,NA,limonáda,lemonade,f,i,cz,words,noun,word_980,sociolex
lingvistika,NA,NA,lingvistika,linguistics,f,i,cz,words,noun,word_983,sociolex
lípa,NA,NA,lípa,linden tree,f,i,cz,words,noun,word_985,sociolex
listnáč,NA,NA,listnáč,broad-leaved tree,m,i,cz,words,noun,word_988,sociolex
literatura,NA,NA,literatura,literature,f,i,cz,words,noun,word_989,sociolex
lítost,NA,NA,lítost,regret,f,i,cz,words,noun,word_990,sociolex
Litva,NA,NA,Litva,Lithuania,f,i,cz,words,noun,word_991,sociolex
loď,NA,NA,loď,ship,f,i,cz,words,noun,word_992,sociolex
lodičky,NA,NA,lodičky,pumps (shoes),f,i,cz,words,noun,word_993,sociolex
Londýn,NA,NA,Londýn,London,m,i,cz,words,noun,word_997,sociolex
Lotyšsko,NA,NA,Lotyšsko,Latvia,n,i,cz,words,noun,word_1000,sociolex
louka,NA,NA,louka,meadow,f,i,cz,words,noun,word_1001,sociolex
ložnice,NA,NA,ložnice,bedroom,f,i,cz,words,noun,word_1007,sociolex
lžíce,NA,NA,lžíce,spoon,f,i,cz,words,noun,word_1016,sociolex
Madagaskar,NA,NA,Madagaskar,Madagascar,m,i,cz,words,noun,word_1019,sociolex
Maďarsko,NA,NA,Maďarsko,Hungary,n,i,cz,words,noun,word_1020,sociolex
magistrát,NA,NA,magistrát,municipality,m,i,cz,words,noun,word_1021,sociolex
magnetofon,NA,NA,magnetofon,tape recorder,m,i,cz,words,noun,word_1022,sociolex
majoránka,NA,NA,majoránka,marjoram,f,i,cz,words,noun,word_1023,sociolex
make-up,NA,NA,make-up,make-up,m,i,cz,words,noun,word_1024,sociolex
malárie,NA,NA,malárie,malaria,f,i,cz,words,noun,word_1030,sociolex
manšestráky,NA,NA,manšestráky,corduroy,m,i,cz,words,noun,word_1041,sociolex
marihuana,NA,NA,marihuana,marijuana,f,i,cz,words,noun,word_1044,sociolex
marketing,NA,NA,marketing,marketing,m,i,cz,words,noun,word_1045,sociolex
